RHeel_pos_X	RHeel_pos_Y	RHeel_pos_Z	LHeel_pos_X	LHeel_pos_Y	LHeel_pos_Z
1411.424	1488.642	71.389	1269.533	1644.440	281.616
1410.417	1488.866	70.787	1298.140	1630.836	268.877
1412.312	1488.297	71.899	1327.745	1616.775	255.244
1412.763	1489.300	71.555	1358.420	1601.871	240.442
1416.588	1490.238	68.758	1391.477	1586.762	223.910
1416.766	1490.254	68.836	1423.407	1569.718	208.541
1416.968	1490.285	68.900	1455.823	1551.116	192.359
1414.034	1489.843	70.783	1488.525	1530.793	175.837
1412.729	1487.943	71.380	1520.439	1509.140	159.574
1412.869	1488.004	71.432	1554.028	1485.270	144.059
1413.575	1489.698	72.035	1587.806	1459.966	129.473
1413.737	1489.743	72.000	1621.164	1431.651	116.229
1413.892	1489.515	71.892	1653.689	1403.474	103.275
1414.000	1488.904	71.722	1686.463	1374.277	92.115
1414.025	1488.837	71.905	1718.563	1344.215	82.279
1414.125	1488.787	72.057	1750.012	1313.933	74.149
1414.184	1488.719	72.216	1780.473	1283.521	67.853
1414.227	1488.624	72.362	1809.549	1253.138	63.028
1414.235	1488.502	72.571	1837.097	1223.612	60.006
1414.323	1488.409	72.845	1863.028	1195.416	58.575
1414.475	1488.289	73.203	1886.387	1168.609	58.827
1414.654	1488.165	73.677	1907.402	1143.796	59.904
1414.885	1488.028	74.384	1925.210	1120.615	60.865
1415.298	1488.447	75.426	1941.247	1102.119	61.746
1415.632	1488.292	76.563	1952.964	1084.115	61.260
1416.005	1487.790	77.933	1961.073	1068.050	59.606
1416.263	1487.253	79.913	1966.295	1054.688	57.469
1416.674	1486.318	82.504	1969.007	1043.704	54.756
1417.255	1485.337	85.689	1969.907	1034.954	51.341
1417.926	1484.034	89.494	1969.430	1028.355	47.464
1418.772	1482.577	93.953	1967.990	1023.312	45.594
1419.778	1480.651	99.010	1967.922	1019.647	44.354
1421.127	1478.431	104.894	1969.561	1016.617	46.072
1422.698	1475.415	111.803	1972.071	1013.811	48.448
1424.443	1471.175	119.590	1974.773	1011.663	50.566
